name,url,category,sub_category,price,price_per_unit,price_unit,quantity,weight_per_unit,weight_unit,energy_kj,energy_kcal,fat (g),of which saturates (g),carbohydrate (g),of which sugars (g),fibre (g),protein (g),salt (g),fatlow (g),of which saturateslow (g),of which sugarsmedium (g),saltlow (g),of which sugarshigh (g),saltmedium (g),of which sugarslow (g),salthigh (g),of which mono-unsaturates (g),fathigh (g),of which saturatesmedium (g),fatmedium (g),of which saturateshigh (g),sodium (g),energy value in kj (g),energy value in kcal (g),vitamin b1 (thiamin) (g),vitamin b2 (riboflavin) (g),niacin (g),vitamin b6 (g),folic acid / folate (g),iron (g),magnesium (g),of which polyvalents alcohols (g),phosphorus (g),mangan (g),vitamin b12 (g),vitamin d (g),pantothenic acid (g),calcium (g),folic acid (g),vitamin e (g),vitamin k (g),vitamin c (g),biotin (g),omega-3 fatty acids (g),potassium (g),zinc (g),alpha linolenic acid (omega-3 fatty acids) (g),water (g),omega-6 fatty acids (g),iodine (g),fluoride (g),of which starch (g),vitamin a (g),cholesterin (g),selen (g),caffeine (g),copper (g),silicon (g),bicarbonate (or hydrogen carbonate) (g),nitrate (g),sulfate (g),chloride (g),sulphate 4+ (g),minerals (g),vegetable sterine (g),chrome (g),molybdenum (g),lactose (g)
Schweinshals-Braten,https://www.migros.ch/en/product/220632510501,meat-fish,meat-poultry,2.5,2.5,100g,1,100,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinsbrustspitz IP-SUISSE,https://www.migros.ch/en/product/220636310511,meat-fish,meat-poultry,,,,,,,796,191,13,,0.5,,,18,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spare Ribs IP-SUISSE,https://www.migros.ch/en/product/220636500010,meat-fish,meat-poultry,,,,,,,1079,260,21,7.9,0.5,0.5,0.5,17,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Gaulois Entenfilet,https://www.migros.ch/en/product/243103700200,meat-fish,meat-poultry,4.5,4.5,100g,1,100,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinsplaetzli IP-SUISSE,https://www.migros.ch/en/product/220650000011,meat-fish,meat-poultry,,,,,,,566,135,6,,0.5,,,20,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinsplätzli IP-SUISSE,https://www.migros.ch/en/product/220650020010,meat-fish,meat-poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinsplätzli Stotzen IP-SUISSE,https://www.migros.ch/en/product/220650020811,meat-fish,meat-poultry,,,,,,,549,131,6,,1,,,18,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinstotzen Filet IP-SUISSE,https://www.migros.ch/en/product/220650510010,meat-fish,meat-poultry,,,,,,,449,106,2,0,0,0,0.5,22,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Classic Appenzell Mini Cordon Bleu,https://www.migros.ch/en/product/220651518000,meat-fish,meat-poultry,2.9,2.9,100g,1,100,g,784,187,,,14,,0.9,18,,,,,,,,1,2.1,,,2.7,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinskotelette mager IP-SUISSE,https://www.migros.ch/en/product/220654000010,meat-fish,meat-poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinskotelette IP-SUISSE,https://www.migros.ch/en/product/220654000011,meat-fish,meat-poultry,,,,,,,610,145,6,2,1,1,0.5,22,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinskotelette IP-SUISSE,https://www.migros.ch/en/product/220654010011,meat-fish,meat-poultry,,,,,,,699,167,9,,0.5,,,21,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Classic Schweinskotelett,https://www.migros.ch/en/product/220655040000,meat-fish,meat-poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.migros.ch/en/product/220656000011,meat-fish,meat-poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinsplätzli Hals IP-SUISSE,https://www.migros.ch/en/product/220658000011,meat-fish,meat-poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.migros.ch/en/product/220662040811,meat-fish,meat-poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweins Filetspiessli,https://www.migros.ch/en/product/220662100011,meat-fish,meat-poultry,6.5,6.5,100g,1,100,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Classic Kaninchenragout,https://www.migros.ch/en/product/221272060000,meat-fish,meat-poultry,,,,,,,661,158,8,3,0.5,0.5,0.5,21,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optigal Poulet Crispy,https://www.migros.ch/en/product/243912000000,meat-fish,meat-poultry,4.7,1.88,100g,1,250,g,960,230,,,14,,4,12,,,,,,,1.4,1,,,,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed Grill IP-SUISSE,https://www.migros.ch/en/product/227210000010,meat-fish,meat-poultry,,,,,,,570,136,,,0.5,,0.5,20,,,,,,,0.4,0.5,,,,2.3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optigal Poulet Oberschenkel,https://www.migros.ch/en/product/241102201500,meat-fish,meat-poultry,1.4,1.4,100g,1,100,g,716,172,,,0.5,,0.5,18,,,,,0.1,,,0.5,,,,3.5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optigal Poulet Oberschenkel,https://www.migros.ch/en/product/241102233300,meat-fish,meat-poultry,,,,,,,716,172,,,0.5,,0.5,18,,,,,0.1,,,0.5,,,,3.5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optigal Poulet Oberschenkel,https://www.migros.ch/en/product/241102244000,meat-fish,meat-poultry,1.4,1.4,100g,1,100,g,716,172,,,0.5,,0.5,18,,,,,0.1,,,0.5,,,,3.5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optigal Poulet Unterschenkel,https://www.migros.ch/en/product/241102301500,meat-fish,meat-poultry,1.2,1.2,100g,1,100,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optigal Poulet Unterschenkel,https://www.migros.ch/en/product/241102333300,meat-fish,meat-poultry,,,,,,,716,172,,,0.5,,0.5,18,,,,,0.1,,,0.5,,,,3.5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optigal Poulet Minifilet,https://www.migros.ch/en/product/241102700700,meat-fish,meat-poultry,3.75,3.75,100g,1,100,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optigal Pouletgeschnetzeltes,https://www.migros.ch/en/product/241102826000,meat-fish,meat-poultry,15.8,2.37,100g,3,222,g,469,111,,,0.8,,0.5,23,,2.1,0.3,,0.14,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio Pouletschenkel,https://www.migros.ch/en/product/241104100000,meat-fish,meat-poultry,,,,,,,716,172,,,0.5,,0.5,18,,,,,0.1,,,0.5,,,,3.5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optigal Pouletschenkel,https://www.migros.ch/en/product/241110100000,meat-fish,meat-poultry,1.35,1.35,100g,1,100,g,520,123,,,0.5,,0,19,,,1.5,,0,,,0.5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trutengeschnetzeltes,https://www.migros.ch/en/product/241111001310,meat-fish,meat-poultry,13,2.6,100g,2,250,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Gaulois Poulet Knaberteile,https://www.migros.ch/en/product/243151600000,meat-fish,meat-poultry,6.9,2.76,100g,1,250,g,,,,,0.9,,0,20,,,,,,,1.3,0.7,,,,3.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poulet Cordon-Bleu,https://www.migros.ch/en/product/243995500000,meat-fish,meat-poultry,7.2,2.77,100g,1,260,g,851,203,,,10,,0.6,18,,,,,,,1.4,0.5,,,,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Classic Schweinsleber,https://www.migros.ch/en/product/220610010000,meat-fish,meat-poultry,,,,,,,530,127,4.5,,1,,,21,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Classic Schweins Saucenknochen,https://www.migros.ch/en/product/220615040100,meat-fish,meat-poultry,,,,,,,590,141,6,2,1,1,0.5,21,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinsvoressen IP-SUISSE,https://www.migros.ch/en/product/220622040011,meat-fish,meat-poultry,,,,,,,653,156,,,0.8,,0.5,20,,,,,0.1,,,0.5,,,,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Classic Schweinshaxen,https://www.migros.ch/en/product/220626030000,meat-fish,meat-poultry,,,,,,,732,174,7.6,2.7,0.5,0.5,0,26,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinsbraten IP-SUISSE,https://www.migros.ch/en/product/220632040011,meat-fish,meat-poultry,,,,,,,553,132,5,,0.6,,,21,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinsbraten IP-SUISSE,https://www.migros.ch/en/product/220632040811,meat-fish,meat-poultry,1.95,1.95,100g,1,100,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tessinerbraten IP-SUISSE,https://www.migros.ch/en/product/220632510010,meat-fish,meat-poultry,,,,,,,827,198,13,4.5,0.5,0.5,0.5,20,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.migros.ch/en/product/220634060000,meat-fish,meat-poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grillrippen,https://www.migros.ch/en/product/220636201000,meat-fish,meat-poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinsbrustspitz IP-SUISSE,https://www.migros.ch/en/product/220636310510,meat-fish,meat-poultry,,,,,,,830,199,13,4.9,0.5,0.5,0,20,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plätzli paniert IP-SUISSE,https://www.migros.ch/en/product/220651010011,meat-fish,meat-poultry,3.4,3.4,100g,1,100,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweins Cordon-Bleu IP-SUISSE,https://www.migros.ch/en/product/220651510011,meat-fish,meat-poultry,2.95,2.95,100g,1,100,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Classic Schweins-Cordon-Bleu Kapern,https://www.migros.ch/en/product/220651518200,meat-fish,meat-poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinshalskotelett IP-SUISSE,https://www.migros.ch/en/product/220655010011,meat-fish,meat-poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinshuft IP-SUISSE,https://www.migros.ch/en/product/220656000010,meat-fish,meat-poultry,,,,,,,660,158,8,,1,,,21,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweins Pampassteak,https://www.migros.ch/en/product/220658100000,meat-fish,meat-poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinsplätzli Nierstück IP-SUISSE,https://www.migros.ch/en/product/220660000010,meat-fish,meat-poultry,,,,,,,414,98,,,0,,0,20,,2,1,,0.1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.migros.ch/en/product/220660525011,meat-fish,meat-poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Classic Kaninchen Leber,https://www.migros.ch/en/product/221210020092,meat-fish,meat-poultry,,,,,,,577,137,,,2,,0.5,21,,,,,0.1,,,0.5,,,,1.6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Classic Kaninchen geschnitten,https://www.migros.ch/en/product/221272060092,meat-fish,meat-poultry,2.95,2.95,100g,1,100,g,487,116,3.5,,0,,,21,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migrosspiess IP-SUISSE,https://www.migros.ch/en/product/227215010610,meat-fish,meat-poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Classic Migros Spiess Schwein,https://www.migros.ch/en/product/227215011600,meat-fish,meat-poultry,4.3,4.3,100g,1,100,g,826,198,,,1.3,,0.5,19,,,,,,,,1,2.2,,,4.9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opitgal Poulet,https://www.migros.ch/en/product/241010100000,meat-fish,meat-poultry,1.1,1.08,100g,1,100,g,601,143,,,0.6,,,22,,,,,0.2,,,0.2,,,,2.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optigal Poulet Schnitzel,https://www.migros.ch/en/product/241100446000,meat-fish,meat-poultry,3.3,3.3,100g,1,100,g,499,118,,,0,,0,25,,2,0.5,,0.1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optigal Pouletflügel,https://www.migros.ch/en/product/241110400000,meat-fish,meat-poultry,1.35,1.35,100g,1,100,g,720,172,,,0.5,,0.5,20,,,,,,,0.5,0.5,,,,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optigal Pouletschnitzel,https://www.migros.ch/en/product/241110500000,meat-fish,meat-poultry,3.5,3.5,100g,1,100,g,455,107,,,0.5,,0.5,25,,1,0.3,,,,0.45,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optigal Pouletbrustschnitzel,https://www.migros.ch/en/product/241212400000,meat-fish,meat-poultry,,,,,,,499,118,,,0,,0,25,,2,0.5,,0.1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poulet Schnitzel mariniert,https://www.migros.ch/en/product/241213310000,meat-fish,meat-poultry,3.7,3.7,100g,1,100,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Gaulois Entenflügel,https://www.migros.ch/en/product/243148100100,meat-fish,meat-poultry,5.4,5.4,100g,1,100,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optigal Poulet Delice,https://www.migros.ch/en/product/243911500000,meat-fish,meat-poultry,5.95,2.38,100g,1,250,g,1091,262,,,13,,2.5,13,,,,,,,1.4,1,,,,,17,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Nuggets,https://www.migros.ch/en/product/243995300000,meat-fish,meat-poultry,5.8,2.32,100g,1,250,g,969,231,,,18,,2.2,14,,,1.4,,,,1.3,1.5,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinshals IP-SUISSE,https://www.migros.ch/en/product/220632500011,meat-fish,meat-poultry,,,,,,,881,212,,,0.5,,0.5,19,,,,,0.1,,,0.5,,,,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.migros.ch/en/product/220633540011,meat-fish,meat-poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spare Ribs,https://www.migros.ch/en/product/220636500000,meat-fish,meat-poultry,,,,,,,847,204,15,,0.5,,,17,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.migros.ch/en/product/220650011611,meat-fish,meat-poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinsplätzli IP-SUISSE,https://www.migros.ch/en/product/220650020011,meat-fish,meat-poultry,,,,,,,571,136,6,,0.5,,,20,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna's Best Cordon Bleu Raclette/Speck,https://www.migros.ch/en/product/220650036000,meat-fish,meat-poultry,,,,,,,1008,241,,,13,,0.5,18,,,,,,,,1.5,1.3,,13,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinsplätzli IP-SUISSE,https://www.migros.ch/en/product/220650050011,meat-fish,meat-poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinsstotzen Filet IP-SUISSE,https://www.migros.ch/en/product/220650511111,meat-fish,meat-poultry,,,,,,,570,137,6,2.5,1,1,0.5,20,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Classic Schweins-Cordon-Bleu Hawaii,https://www.migros.ch/en/product/220651518300,meat-fish,meat-poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinskotelett,https://www.migros.ch/en/product/220654000000,meat-fish,meat-poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinskotelett mager IP-SUISSE,https://www.migros.ch/en/product/220654015011,meat-fish,meat-poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halskotelette Schwein IP-SUISSE,https://www.migros.ch/en/product/220655010010,meat-fish,meat-poultry,2.4,2.4,100g,1,100,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinsfilet,https://www.migros.ch/en/product/220662000000,meat-fish,meat-poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinsfilet IP-SUISSE,https://www.migros.ch/en/product/220662000011,meat-fish,meat-poultry,,,,,,,462,109,2,,0.7,,,22,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Classic Kaninchen Vorderviertel,https://www.migros.ch/en/product/221222550092,meat-fish,meat-poultry,,,,,,,604,144,7.6,3,0,0,0,19,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Classic Adrio,https://www.migros.ch/en/product/227221520500,meat-fish,meat-poultry,,,,,,,1370,332,30,11,1,1,0.5,15,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bärlauchsteak IP-SUISSE,https://www.migros.ch/en/product/227250011610,meat-fish,meat-poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbecue Steak mariniert IP-SUISSE,https://www.migros.ch/en/product/227250013510,meat-fish,meat-poultry,4,4,100g,1,100,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Classic Pariser Schnitzel,https://www.migros.ch/en/product/227250610000,meat-fish,meat-poultry,2.95,2.95,100g,1,100,g,713,171,9.7,,0.8,,,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optigal Poulet Schenkel,https://www.migros.ch/en/product/241102046000,meat-fish,meat-poultry,1.3,1.3,100g,1,100,g,716,172,,,0.5,,0.5,18,,,,,0.1,,,0.5,,,,3.5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio Poulet Oberschenkel,https://www.migros.ch/en/product/241102240000,meat-fish,meat-poultry,2.4,2.4,100g,1,100,g,716,172,,,0.5,,0.5,18,,,,,0.1,,,0.5,,,,3.5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optigal Pouletflügel,https://www.migros.ch/en/product/241102446000,meat-fish,meat-poultry,1.2,1.2,100g,1,100,g,733,176,,,0.5,,0.5,19,,,,,0.1,,,0.5,,,,3.5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optigal Poulet Minifilet,https://www.migros.ch/en/product/241102700400,meat-fish,meat-poultry,3.6,3.6,100g,1,100,g,499,118,,,0,,0,25,,2,0.5,,0.1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optigal Poulethackbraten,https://www.migros.ch/en/product/241105100000,meat-fish,meat-poultry,1.6,1.6,100g,1,100,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poulet-Flügel,https://www.migros.ch/en/product/241110401500,meat-fish,meat-poultry,1.2,1.2,100g,1,100,g,733,176,,,0.5,,0.5,19,,,,,0.1,,,0.5,,,,3.5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optigal Pouletbrust gschnitten,https://www.migros.ch/en/product/241110510000,meat-fish,meat-poultry,3.5,3.5,100g,1,100,g,469,111,,,0.8,,0.5,23,,2.1,0.3,,0.14,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.migros.ch/en/content/weidebeef-guidelines,meat-fish,meat-poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optigal Pouletschnitzel,https://www.migros.ch/en/product/241212410000,meat-fish,meat-poultry,3.6,3.6,100g,1,100,g,499,118,,,0,,0,25,,2,0.5,,0.1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Gaulois Truthahnplätzli fein,https://www.migros.ch/en/product/243134000000,meat-fish,meat-poultry,4.6,4.6,100g,1,100,g,,,,,0.1,,,23.7,,1.3,0.4,,0.15,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mais Pouletschnitzel,https://www.migros.ch/en/product/243140610000,meat-fish,meat-poultry,,,,,,,483,114,1.5,0.4,0.5,0.5,0.5,25,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pouletschnitzel paniert,https://www.migros.ch/en/product/243995400000,meat-fish,meat-poultry,5.8,2.9,100g,1,200,g,980,234,,,19,,1.5,14,,,1.3,,,,1.2,1.5,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optigal Poulet Minifilet,https://www.migros.ch/en/product/241100469200,meat-fish,meat-poultry,3.05,3.05,100g,1,100,g,499,118,,,0,,0,25,,2,0.5,,0.1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optigal Chicken Mini Fillet,https://www.migros.ch/en/product/241100469300,meat-fish,meat-poultry,3.05,3.05,100g,1,100,g,499,118,,,0,,0,25,,2,0.5,,0.1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optigal Poulet Minifilet,https://www.migros.ch/en/product/241102701600,meat-fish,meat-poultry,3.6,3.6,100g,1,100,g,499,118,,,0,,0,25,,2,0.5,,0.1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Gaulois Trutenschnitzel fein,https://www.migros.ch/en/product/243133020000,meat-fish,meat-poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
