name,url,category,sub_category,price,price_per_unit,price_unit,quantity,weight_per_unit,weight_unit,energy_kj,energy_kcal,fat (g),of which saturates (g),carbohydrate (g),of which sugars (g),fibre (g),protein (g),salt (g),fatlow (g),of which saturateslow (g),of which sugarsmedium (g),saltlow (g),of which sugarshigh (g),saltmedium (g),of which sugarslow (g),salthigh (g),of which mono-unsaturates (g),fathigh (g),of which saturatesmedium (g),fatmedium (g),of which saturateshigh (g),sodium (g),energy value in kj (g),energy value in kcal (g),vitamin b1 (thiamin) (g),vitamin b2 (riboflavin) (g),niacin (g),vitamin b6 (g),folic acid / folate (g),iron (g),magnesium (g),of which polyvalents alcohols (g),phosphorus (g),mangan (g),vitamin b12 (g),vitamin d (g),pantothenic acid (g),calcium (g),folic acid (g),vitamin e (g),vitamin k (g),vitamin c (g),biotin (g),omega-3 fatty acids (g),potassium (g),zinc (g),alpha linolenic acid (omega-3 fatty acids) (g),water (g),omega-6 fatty acids (g),iodine (g),fluoride (g),of which starch (g),vitamin a (g),cholesterin (g),selen (g),caffeine (g),copper (g),silicon (g),bicarbonate (or hydrogen carbonate) (g),nitrate (g),sulfate (g),chloride (g),sulphate 4+ (g),minerals (g),vegetable sterine (g),chrome (g),molybdenum (g),lactose (g)
Leberwurst,https://www.migros.ch/en/product/233700261000,meat-fish,cold-cuts,1.3,1.3,100g,1,100,g,1045,252,,,0.7,,0.5,15,,,,,,,,0.7,1.6,,21,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tradition Schweinsbratwurst,https://www.migros.ch/en/product/230100151100,meat-fish,cold-cuts,4.2,1.91,100g,2,110,g,929,224,,,0.6,,0.5,17,,,,,,,,0.6,1.8,,,,17,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinsbratwurst,https://www.migros.ch/en/product/230100151200,meat-fish,cold-cuts,,,,,,,954,230,,,0.7,,0.5,16,,,,,,,,0.5,1.9,,18,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bratwurst,https://www.migros.ch/en/product/230110055200,meat-fish,cold-cuts,9.95,1.24,100g,2,400,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bratwurst,https://www.migros.ch/en/product/230110055500,meat-fish,cold-cuts,6.4,1.28,100g,5,100,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siedwurst,https://www.migros.ch/en/product/230131200000,meat-fish,cold-cuts,3.7,1.85,100g,1,200,g,1093,264,,,1,,0.5,13,,,,,,,,0.5,2.1,,23,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdR Schweinswürstli,https://www.migros.ch/en/product/230510056000,meat-fish,cold-cuts,,,,,,,1060,255,20,8,0.7,0.5,0.5,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Galler Schüblig,https://www.migros.ch/en/product/230521330001,meat-fish,cold-cuts,6.95,2.48,100g,1,280,g,1201,290,25,9,1,1,0.5,15,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entlebucherli,https://www.migros.ch/en/product/230540210000,meat-fish,cold-cuts,6.1,3.39,100g,1,180,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernerwurst,https://www.migros.ch/en/product/230644100000,meat-fish,cold-cuts,6.5,2.83,100g,1,230,g,1610,389,,,0.5,,0.5,18,,,,,,,,0.5,3.1,,35,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berner Zungenwurst,https://www.migros.ch/en/product/231014464000,meat-fish,cold-cuts,,,,,,,1143,276,,,0.5,,0.5,15,,,,,,,,0.5,1.9,,24,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bauernschinken,https://www.migros.ch/en/product/231511081500,meat-fish,cold-cuts,4.65,4.65,100g,1,100,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofenschinken gebacken,https://www.migros.ch/en/product/231513000000,meat-fish,cold-cuts,,,,,,,521,124,,,1,,0.5,22,,,1.5,,,,,1,2,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grill mi Grillschnecken Mix,https://www.migros.ch/en/product/230104076200,meat-fish,cold-cuts,1.85,1.85,100g,1,100,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Galler Kalbsbratwurst,https://www.migros.ch/en/product/230110610900,meat-fish,cold-cuts,4.4,2.2,100g,1,200,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalbsbratwurst Past IP-SUISSE,https://www.migros.ch/en/product/230110650910,meat-fish,cold-cuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bratwurst,https://www.migros.ch/en/product/230111253000,meat-fish,cold-cuts,4.95,2.48,100g,1,200,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kräuter-Bratwurst,https://www.migros.ch/en/product/230111902000,meat-fish,cold-cuts,6.1,2.35,100g,1,260,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotechini,https://www.migros.ch/en/product/230140260000,meat-fish,cold-cuts,2.05,2.05,100g,1,100,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsiccia Schale,https://www.migros.ch/en/product/230143500000,meat-fish,cold-cuts,2.9,2.9,100g,1,100,g,1032,249,,,0.5,,0,15,,,,,,,,0.5,1.7,,21,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweinswürstli,https://www.migros.ch/en/product/230510056500,meat-fish,cold-cuts,9.4,1.84,100g,3,120,g,1098,265,,,0.9,,0.5,18,,,,,,,,0.5,2.2,,21,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmentalerli,https://www.migros.ch/en/product/230510251000,meat-fish,cold-cuts,,,,,,,1029,248,,,1,,0.5,16,,,,,,,,0.5,2,,20,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratsherrenschüblig,https://www.migros.ch/en/product/230521700000,meat-fish,cold-cuts,5.4,2.25,100g,1,240,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong-Kong Würstli,https://www.migros.ch/en/product/230564500000,meat-fish,cold-cuts,5.95,2.48,100g,1,240,g,808,194,13,5,0.5,0.5,0.5,18,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurawurst,https://www.migros.ch/en/product/230640280300,meat-fish,cold-cuts,2.85,2.85,100g,1,100,g,1641,397,,,0,,0,16,,,0,,,,,0.5,2,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saucisse Croquantes Ajoie,https://www.migros.ch/en/product/230640280500,meat-fish,cold-cuts,3.4,3.4,100g,1,100,g,1430,345,,,1,,0,20,,,,,,,,0.5,2,,29,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivaldi Hinterschinken,https://www.migros.ch/en/product/231502582000,meat-fish,cold-cuts,,,,,,,,,,,0.8,,0,22,,,1.2,,,,,0,2.1,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bauernschinken,https://www.migros.ch/en/product/231505070000,meat-fish,cold-cuts,4.3,4.3,100g,1,100,g,,,,,0.6,,0.5,20,,,,,,,1.5,0.5,,,,3.8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Classic Appenz. Gewürzschinken,https://www.migros.ch/en/product/231510581000,meat-fish,cold-cuts,3.9,3.9,100g,1,100,g,431,102,,,1,,0.5,20,,2,1,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krustenschinken geschnitten,https://www.migros.ch/en/product/231510945500,meat-fish,cold-cuts,4.8,4.8,100g,1,100,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Del Maître Schwartenmagen,https://www.migros.ch/en/product/233710170100,meat-fish,cold-cuts,3.4,1.89,100g,2,90,g,,,,,1,,0.5,14,,,,,,,,0.5,1.9,,,4,11,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweins-Wädli gekocht ohne Bein,https://www.migros.ch/en/product/235021030000,meat-fish,cold-cuts,,,,,,,749,179,11,3.5,0.5,0.5,0,20,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bauernbratwurst,https://www.migros.ch/en/product/230100131501,meat-fish,cold-cuts,6.35,2.89,100g,1,220,g,1039,250,,,1.5,,0.5,18,,,,,,,,0.5,1.7,,19,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Classic Luganighetta,https://www.migros.ch/en/product/230102260000,meat-fish,cold-cuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalbsbratwurst Spezial IP-SUISSE,https://www.migros.ch/en/product/230110351910,meat-fish,cold-cuts,4.95,1.77,100g,1,280,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bratwurst,https://www.migros.ch/en/product/230111253500,meat-fish,cold-cuts,8.9,1.48,100g,1,600,g,1103,267,,,1.4,,0.5,11,,,,,,,,0.5,2.1,,24,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pizza Bratwurst,https://www.migros.ch/en/product/230111903000,meat-fish,cold-cuts,6.15,3.42,100g,1,180,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appenzeller Siedwurst,https://www.migros.ch/en/product/230131010000,meat-fish,cold-cuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augustiner Schüblig,https://www.migros.ch/en/product/230521700001,meat-fish,cold-cuts,6.9,2.23,100g,1,310,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
