category,sub_category,url
fruits-vegetables,fruits,https://www.migros.ch/en/product/264708113200
fruits-vegetables,fruits,https://www.migros.ch/en/product/268107502100
fruits-vegetables,fruits,https://www.migros.ch/en/product/268180302100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260206101000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260279201000
fruits-vegetables,fruits,https://www.migros.ch/en/product/261602501000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260242201000
fruits-vegetables,fruits,https://www.migros.ch/en/product/261580801000
fruits-vegetables,fruits,https://www.migros.ch/en/product/264280102100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260281004100
fruits-vegetables,fruits,https://www.migros.ch/en/product/264707913200
fruits-vegetables,fruits,https://www.migros.ch/en/product/260282801000
fruits-vegetables,fruits,https://www.migros.ch/en/product/264706313200
fruits-vegetables,fruits,https://www.migros.ch/en/product/261780102400
fruits-vegetables,fruits,https://www.migros.ch/en/product/261800502600
fruits-vegetables,fruits,https://www.migros.ch/en/product/264701523200
fruits-vegetables,fruits,https://www.migros.ch/en/product/261500805300
fruits-vegetables,fruits,https://www.migros.ch/en/product/264708213200
fruits-vegetables,fruits,https://www.migros.ch/en/product/260203804100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260206104400
fruits-vegetables,fruits,https://www.migros.ch/en/product/260205205600
fruits-vegetables,fruits,https://www.migros.ch/en/product/260283501000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260210601000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260200201000
fruits-vegetables,fruits,https://www.migros.ch/en/product/261801102300
fruits-vegetables,fruits,https://www.migros.ch/en/product/262401302300
fruits-vegetables,fruits,https://www.migros.ch/en/product/264280302100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260275001000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260249801000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260224901000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260262001000
fruits-vegetables,fruits,https://www.migros.ch/en/product/262500701000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260215705500
fruits-vegetables,fruits,https://www.migros.ch/en/product/260279701000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260232804100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260205005600
fruits-vegetables,fruits,https://www.migros.ch/en/product/260233603300
fruits-vegetables,fruits,https://www.migros.ch/en/product/260271104100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260205704100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260206103300
fruits-vegetables,fruits,https://www.migros.ch/en/product/262404101000
fruits-vegetables,fruits,https://www.migros.ch/en/product/261604502400
fruits-vegetables,fruits,https://www.migros.ch/en/product/260213403400
fruits-vegetables,fruits,https://www.migros.ch/en/product/260205601000
fruits-vegetables,fruits,https://www.migros.ch/en/product/261602701000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260252004100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260215713200
fruits-vegetables,fruits,https://www.migros.ch/en/product/264780813200
fruits-vegetables,fruits,https://www.migros.ch/en/product/260206102300
fruits-vegetables,fruits,https://www.migros.ch/en/product/268110002100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260215903300
fruits-vegetables,fruits,https://www.migros.ch/en/product/262404102500
fruits-vegetables,fruits,https://www.migros.ch/en/product/262402702500
fruits-vegetables,fruits,https://www.migros.ch/en/product/264280301000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260231913200
fruits-vegetables,fruits,https://www.migros.ch/en/product/261703013200
fruits-vegetables,fruits,https://www.migros.ch/en/product/260281404100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260235401000
fruits-vegetables,fruits,https://www.migros.ch/en/product/261604301000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260279401000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260279704100
fruits-vegetables,fruits,https://www.migros.ch/en/product/264709502100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260261201000
fruits-vegetables,fruits,https://www.migros.ch/en/product/261700901000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260263901000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260272301000
fruits-vegetables,fruits,https://www.migros.ch/en/product/263500408500
fruits-vegetables,fruits,https://www.migros.ch/en/product/261500506300
fruits-vegetables,fruits,https://www.migros.ch/en/product/260215702300
fruits-vegetables,fruits,https://www.migros.ch/en/product/264636713200
fruits-vegetables,fruits,https://www.migros.ch/en/product/261780102300
fruits-vegetables,fruits,https://www.migros.ch/en/product/264614313200
fruits-vegetables,fruits,https://www.migros.ch/en/product/260207704100
fruits-vegetables,fruits,https://www.migros.ch/en/product/261801102600
fruits-vegetables,fruits,https://www.migros.ch/en/product/261801202400
fruits-vegetables,fruits,https://www.migros.ch/en/product/262401602300
fruits-vegetables,fruits,https://www.migros.ch/en/product/260278401000
fruits-vegetables,fruits,https://www.migros.ch/en/product/263382508700
fruits-vegetables,fruits,https://www.migros.ch/en/product/264683602300
fruits-vegetables,fruits,https://www.migros.ch/en/product/264206501000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260206104100
fruits-vegetables,fruits,https://www.migros.ch/en/product/264780413200
fruits-vegetables,fruits,https://www.migros.ch/en/product/266003113200
fruits-vegetables,fruits,https://www.migros.ch/en/product/264380313200
fruits-vegetables,fruits,https://www.migros.ch/en/product/260224904100
fruits-vegetables,fruits,https://www.migros.ch/en/product/264681313200
